Date,Total NHI SWIR hot pixels,Total NHI SWNIR hot pixels,Total NHI SWIR + SWNIR hot pixels,Hot pixels area m2,Total NHI extreme pixels,Extreme hot pixels area m2,Radiance B6 (1.6 μm),Radiance B7 (2.2 μm)
2024-Oct-03,0,0,0,0,0,0,0.0,0.0
2024-Oct-04,0,0,0,0,0,0,0.0,0.0
2024-Oct-11,0,0,0,0,0,0,0.0,0.0
2024-Oct-12,0,0,0,0,0,0,0.0,0.0
2024-Oct-19,0,1,1,900,0,0,59.761593,25.90832
2024-Oct-20,0,0,0,0,0,0,0.0,0.0
2024-Oct-27,0,0,0,0,0,0,0.0,0.0
2024-Oct-28,0,1,1,900,1,900,71.607315,25.950922
2024-Nov-05,0,1,1,900,0,0,47.710884,30.267889
2024-Nov-12,0,0,0,0,0,0,0.0,0.0
2024-Nov-13,0,0,0,0,0,0,0.0,0.0
2024-Nov-20,0,1,1,900,0,0,43.97112,26.523758
2024-Nov-21,0,2,2,1800,0,0,84.359665,52.358315
2024-Nov-28,0,0,0,0,0,0,0.0,0.0
2024-Nov-29,0,0,0,0,0,0,0.0,0.0
2024-Dec-06,0,0,0,0,0,0,0.0,0.0
2024-Dec-15,1,1,2,1800,0,0,64.39991,37.476067
2024-Dec-22,0,2,2,1800,0,0,63.37181,40.982426
2024-Dec-23,0,3,3,2700,0,0,102.13336,64.40379
2024-Dec-30,0,0,0,0,0,0,0.0,0.0
2024-Dec-31,0,0,0,0,0,0,0.0,0.0
2025-Jan-07,0,0,0,0,0,0,0.0,0.0
2025-Jan-08,0,2,2,1800,0,0,87.13817,52.3261
2025-Jan-23,0,0,0,0,0,0,0.0,0.0
2025-Jan-24,0,0,0,0,0,0,0.0,0.0
2025-Jan-31,0,2,2,1800,0,0,70.373764,39.027077
2025-Feb-01,0,1,1,900,0,0,45.65508,31.973366
2025-Feb-09,0,0,0,0,0,0,0.0,0.0
2025-Feb-16,0,1,1,900,0,0,30.472265,19.980768
2025-Feb-17,0,0,0,0,0,0,0.0,0.0
2025-Feb-24,0,0,0,0,0,0,0.0,0.0
2025-Feb-25,0,0,0,0,0,0,0.0,0.0
2025-Mar-04,0,0,0,0,0,0,0.0,0.0
2025-Mar-05,0,0,0,0,0,0,0.0,0.0
2025-Mar-12,0,0,0,0,0,0,0.0,0.0
2025-Mar-13,0,0,0,0,0,0,0.0,0.0
2025-Mar-20,0,0,0,0,0,0,0.0,0.0
2025-Mar-21,0,0,0,0,0,0,0.0,0.0
2025-Mar-28,0,0,0,0,0,0,0.0,0.0
2025-Mar-29,0,0,0,0,0,0,0.0,0.0
