Date,Total NHI SWIR hot pixels,Total NHI SWNIR hot pixels,Total NHI SWIR + SWNIR hot pixels,Hot pixels area m2,Total NHI extreme pixels,Extreme hot pixels area m2,Radiance B6 (1.6 μm),Radiance B7 (2.2 μm)
2024-Oct-07,9,4,13,11700,0,0,246.82884,253.96158
2024-Oct-08,17,1,18,16200,0,0,173.94638,251.66467
2024-Oct-15,5,0,5,4500,0,0,24.301096,34.570305
2024-Oct-16,0,0,0,0,0,0,0.0,0.0
2024-Oct-23,0,0,0,0,0,0,0.0,0.0
2024-Oct-24,2,0,2,1800,0,0,6.736749,8.902014
2024-Oct-31,5,2,7,6300,0,0,142.87584,110.50217
2024-Nov-01,4,2,6,5400,0,0,118.99916,76.553345
2024-Nov-08,0,0,0,0,0,0,0.0,0.0
2024-Nov-09,0,0,0,0,0,0,0.0,0.0
2024-Nov-16,1,0,1,900,0,0,1.627905,1.70185
2024-Nov-17,1,0,1,900,0,0,1.915379,1.9637468
2024-Nov-24,3,0,3,2700,0,0,3.8783844,4.635004
2024-Nov-25,8,0,8,7200,0,0,20.229057,29.295044
